"","X","id","date","lat","lon","time","step","ta","dives","speed"
"1",1,"N424A1","2019-12-15 00:03:04",-77.1853,166.3729,45,5.03606512373441,NA,0,402.885209898753
"2",2,"N424A1","2019-12-15 00:03:49",-77.2257,166.4635,2160,3.94437126605549,1.72837096472388,2,6.57395211009248
"3",3,"N424A1","2019-12-15 00:39:49",-77.2052,166.5935,1665,1.35931990122892,3.33176757821033,0,2.93907005671118
"4",4,"N424A1","2019-12-15 01:07:34",-77.214,166.5555,2025,3.19536405718996,6.24469345172844,0,5.68064721278215
"5",5,"N424A1","2019-12-15 01:41:19",-77.2339,166.4625,225,0.233957731320174,4.37843591412456,0,3.74332370112278
"6",6,"N424A1","2019-12-15 01:45:04",-77.232,166.4585,2250,0.932468152093025,0.703098811927678,13,1.49194904334884
"7",7,"N424A1","2019-12-15 02:22:34",-77.2285,166.4242,3465,1.36249131822827,4.13493457240939,13,1.41557539556184
"8",8,"N424A1","2019-12-15 03:20:19",-77.222,166.4709,6075,1.68670880906927,1.91772703121053,8,0.999531146115123
"9",9,"N424A1","2019-12-15 05:01:34",-77.2127,166.4171,4095,2.37013945475021,3.38639433521974,20,2.08363908109909
"10",10,"N424A1","2019-12-15 06:09:49",-77.2213,166.5048,68445,1.99047380074983,4.43614365392721,210,0.104692902077572
"11",11,"N424A1","2019-12-16 01:10:34",-77.235,166.4532,5895,0.838597477976663,3.89161194387475,0,0.512120597237657
"12",12,"N424A1","2019-12-16 02:48:49",-77.2275,166.4513,5955,4.58348520529175,0.602392495427695,0,2.77087266818645
"13",13,"N424A1","2019-12-16 04:28:04",-77.195,166.338,6105,2.82741034167027,2.97666218467767,0,1.66726899754512
"14",14,"N424A1","2019-12-16 06:09:49",-77.2173,166.3922,68055,8.8435578375121,3.38643667106294,0,0.467809980384153
"15",15,"N424A1","2019-12-17 01:04:04",-77.1586,166.1524,2340,9.0005437911743,3.38980484560044,0,13.8469904479605
"16",16,"N424A1","2019-12-17 01:43:04",-77.2029,166.4559,8440,24.9843840409262,3.506200861705,0,10.6568462733808
"17",17,"N424A1","2019-12-17 04:03:44",-77.1523,165.4739,6187,20.6004601365,3.06038398297251,0,11.9866908827218
"18",18,"N424A1","2019-12-17 05:46:51",-77.2058,166.2695,368,0.831915402493077,6.27005655826598,0,8.13830285047575
"19",19,"N424A1","2019-12-17 05:52:59",-77.2081,166.3015,1268,1.04971593848808,2.27407893911244,0,2.98026607141726
"20",20,"N424A1","2019-12-17 06:14:07",-77.1994,166.2854,3597,1.36384534636335,1.78213159427224,0,1.36498283205673
"21",21,"N424A1","2019-12-17 07:14:04",-77.2063,166.2399,3665,1.98525130621847,0.00400817917123655,0,1.95004221074666
"22",22,"N424A1","2019-12-17 08:15:09",-77.2164,166.1738,3595,1.27128927413127,0.67264169468023,0,1.27305740942213
"23",23,"N424A1","2019-12-17 09:15:04",-77.2273,166.1589,3600,1.26639423998064,6.14459855464736,0,1.26639423998064
"24",24,"N424A1","2019-12-17 10:15:04",-77.2376,166.1374,3600,2.71825535987829,5.77809962727569,0,2.71825535987829
"25",25,"N424A1","2019-12-17 11:15:04",-77.252,166.0485,3715,2.13372126309998,6.17650092667299,0,2.06767067218302
"26",26,"N424A1","2019-12-17 12:16:59",-77.2616,165.9736,3605,0.888456142697671,4.93996653397514,0,0.887223887298645
"27",27,"N424A1","2019-12-17 13:17:04",-77.2558,165.9489,3618,1.84734987211484,4.220196561896,0,1.83815907673118
"28",28,"N424A1","2019-12-17 14:17:22",-77.2515,166.0213,3641,0.795266096334372,5.45803826416238,0,0.786310888987569
"29",29,"N424A1","2019-12-17 15:18:03",-77.2553,166.0486,3633,0.806141336298306,0.800274740658196,0,0.7988188303534
"30",30,"N424A1","2019-12-17 16:18:36",-77.2536,166.0804,3609,0.787400651224065,5.94612125965399,0,0.785437058577621
"31",31,"N424A1","2019-12-17 17:18:45",-77.2543,166.1122,3683,2.66544580016578,0.679686724638458,0,2.60537737730025
"32",32,"N424A1","2019-12-17 18:20:08",-77.2412,166.2026,3596,3.45115266655665,6.10073311467994,0,3.45499154605226
"33",33,"N424A1","2019-12-17 19:20:04",-77.2292,166.3315,3600,2.65012162393278,0.151279139583241,0,2.65012162393278
"34",34,"N424A1","2019-12-17 20:20:04",-77.2168,166.423,3600,0.679415126881122,6.0172282942587,0,0.679415126881122
"35",35,"N424A1","2019-12-17 21:20:04",-77.2151,166.4494,10095,1.89299135239164,0.932821715640767,0,0.675063780942041
"36",36,"N424A1","2019-12-18 00:08:19",-77.1992,166.476,5963,2.18044509839727,3.44000763578587,0,1.31638476508975
"37",37,"N424A1","2019-12-18 01:47:42",-77.2187,166.471,2047,1.27440707405328,2.05141887175343,0,2.24126305158369
"38",38,"N424A1","2019-12-18 02:21:49",-77.214,166.518,2296,0.436463696681717,5.26146040024202,0,0.684350743926037
"39",39,"N424A1","2019-12-18 03:00:05",-77.2162,166.5326,1619,1.89557500370005,5.02646296682586,0,4.21499074324903
"40",40,"N424A1","2019-12-18 03:27:04",-77.2325,166.5111,5760,3.25101253220416,4.24457237086958,0,2.0318828326276
"41",41,"N424A1","2019-12-18 05:03:04",-77.2126,166.415,1980,0.635647345509241,1.9482903168558,0,1.15572244638044
"42",42,"N424A1","2019-12-18 05:36:04",-77.2179,166.4056,67681,6.38619840769929,1.59862151319733,240,0.339686385657976
"43",43,"N424A1","2019-12-19 00:24:05",-77.2372,166.6491,3262,5.29537691901602,3.05885058540697,23,5.84407017426661
"44",44,"N424A1","2019-12-19 01:18:27",-77.2174,166.4542,4748,1.24924537554479,5.87679048910671,25,0.947195314229411
"45",45,"N424A1","2019-12-19 02:37:35",-77.2091,166.4203,1170,2.71341121669639,3.02430424862374,10,8.34895758983505
"46",46,"N424A1","2019-12-19 02:57:05",-77.2289,166.484,5850,2.7233331271732,3.11911435098429,42,1.67589730902966
"47",47,"N424A1","2019-12-19 04:34:35",-77.2087,166.4222,2880,3.7678190150856,3.67473443956046,0,4.709773768857
"48",48,"N424A1","2019-12-19 05:22:35",-77.2231,166.5601,2970,1.46759364151628,1.46144010006426,0,1.7789013836561
"49",49,"N424A1","2019-12-19 06:12:05",-77.2119,166.5912,66780,3.2358639290456,2.0680078088557,0,0.174440103991677
"50",50,"N424A1","2019-12-20 00:45:05",-77.2103,166.4605,5940,1.27577737549267,1.69466781412117,0,0.773198409389497
"51",51,"N424A1","2019-12-20 02:24:05",-77.2217,166.4641,5895,2.08919963679822,3.63779190638259,0,1.27584710644166
"52",52,"N424A1","2019-12-20 04:02:20",-77.2059,166.4188,4140,4.18767720302177,3.85856769404448,0,3.64145843741024
"53",53,"N424A1","2019-12-20 05:11:20",-77.2165,166.5813,1935,1.38684321156872,4.24006814861346,0,2.58017341687204
"54",54,"N424A1","2019-12-20 05:43:35",-77.2255,166.5426,3993,3.16074112660333,4.98051451585599,0,2.84965390828249
"55",55,"N424A1","2019-12-20 06:50:08",-77.2121,166.4299,3622,2.76893263022754,0.164548809268868,0,2.75211415483687
"56",56,"N424A1","2019-12-20 07:50:30",-77.2041,166.3239,3574,1.37562375439438,1.11174137193647,0,1.3856310900447
"57",57,"N424A1","2019-12-20 08:50:04",-77.2128,166.2845,3601,1.73835343394812,0.000629049657845973,0,1.73787069208921
"58",58,"N424A1","2019-12-20 09:50:05",-77.2238,166.2347,3635,1.70301885200729,6.22236440884215,0,1.68662114641712
"59",59,"N424A1","2019-12-20 10:50:40",-77.2339,166.183,3564,1.3946912739313,0.670854424099339,0,1.40877906457707
"60",60,"N424A1","2019-12-20 11:50:04",-77.2462,166.1731,4285,1.45359928725703,5.95507551030224,0,1.22122693911909
"61",61,"N424A1","2019-12-20 13:01:29",-77.2576,166.1446,3602,1.47229467847928,0.388435675857003,0,1.47147719115086
"62",62,"N424A1","2019-12-20 14:01:31",-77.2707,166.1377,3680,1.26503416484428,5.45005678683604,0,1.23753342213027
"63",63,"N424A1","2019-12-20 15:02:51",-77.2773,166.0959,3613,1.50411632238371,6.26986658924692,0,1.49870433450909
"64",64,"N424A1","2019-12-20 16:03:04",-77.285,166.0457,3600,1.53511863244264,6.21743409717037,0,1.53511863244264
"65",65,"N424A1","2019-12-20 17:03:04",-77.2921,165.9922,7200,2.5971042259554,6.24325267592214,0,1.2985521129777
"66",66,"N424A1","2019-12-20 19:03:04",-77.3033,165.8995,3600,1.48260687714284,6.24933180514624,0,1.48260687714284
"67",67,"N424A1","2019-12-20 20:03:04",-77.3093,165.8456,3741,1.24185716821353,6.23081602427154,0,1.19505100389434
"68",68,"N424A1","2019-12-20 21:05:25",-77.3138,165.7993,3629,0.687189582739951,3.12502837755296,0,0.681698125616926
"69",69,"N424A1","2019-12-20 22:05:54",-77.3114,165.8251,7284,4.18725875354648,0.108120785976346,0,2.06948538066548
"70",70,"N424A1","2019-12-21 00:07:18",-77.2931,165.974,216,0.256615700773462,0.26141996493789,0,4.27692834622437
"71",71,"N424A1","2019-12-21 00:10:54",-77.2915,165.9815,267,0.379900791444773,3.45102828953528,0,5.12225786217671
"72",72,"N424A1","2019-12-21 00:15:21",-77.2945,165.9742,3181,0.95757877240099,2.24962474354576,0,1.08371065094108
"73",73,"N424A1","2019-12-21 01:08:22",-77.2929,166.0125,688,1.42823441868815,5.8101556458865,0,7.47331963267055
"74",74,"N424A1","2019-12-21 01:19:50",-77.2965,166.0683,956,2.13073194624804,3.56998718215325,0,8.02367678503446
"75",75,"N424A1","2019-12-21 01:35:46",-77.2992,165.9824,1055,3.89081562334256,3.35834991769328,0,13.2767168189888
"76",76,"N424A1","2019-12-21 01:53:21",-77.2869,166.1306,96,0.242713602159798,0.703745376177399,0,9.10176008099242
"77",77,"N424A1","2019-12-21 01:54:57",-77.285,166.1354,788,1.12598750659086,0.136528605779525,0,5.14410536005977
"78",78,"N424A1","2019-12-21 02:08:05",-77.2756,166.152,5491,3.42863474900944,5.92418078628342,0,2.24787563220433
"79",79,"N424A1","2019-12-21 03:39:36",-77.2527,166.2448,1728,3.06765691463335,6.10406716561414,0,6.39095190548615
"80",80,"N424A1","2019-12-21 04:08:24",-77.2358,166.3429,3891,2.40791198199191,0.0441632883171296,5,2.22782912751757
"81",81,"N424A1","2019-12-21 05:13:15",-77.2218,166.4171,590,1.09342446135632,0.0333912322667987,4,6.67174247607246
"82",82,"N424A1","2019-12-21 05:23:05",-77.2152,166.4498,71970,1.01304229187988,4.16953263078632,350,0.050673228439177
"83",83,"N424A1","2019-12-22 01:22:35",-77.2241,166.4578,450,0.0742093846912398,3.87044663110628,5,0.593675077529918
"84",84,"N424A1","2019-12-22 01:30:05",-77.2237,166.4554,270,0.331050963175712,2.00607858308387,3,4.41401284234283
"85",85,"N424A1","2019-12-22 01:34:35",-77.2266,166.4526,5220,1.16745782461846,1.23822232709056,35,0.805143327323076
"86",86,"N424A1","2019-12-22 03:01:35",-77.232,166.4931,5940,4.44184181303204,2.86525349580003,8,2.69202534123154
"87",87,"N424A1","2019-12-22 04:40:35",-77.2029,166.3705,405,1.16499531240585,2.93924245187292,0,10.355513888052
"88",88,"N424A1","2019-12-22 04:47:20",-77.2118,166.3951,72315,1.25698296407785,1.06563383233803,0,0.0625753809124008
"89",89,"N424A1","2019-12-23 00:52:35",-77.2113,166.4459,1170,0.997100611630757,4.8401909755144,0,3.06800188194079
"90",90,"N424A1","2019-12-23 01:12:05",-77.2201,166.4528,4747,0.283109887067667,2.44914958702664,0,0.214703095311481
"91",91,"N424A1","2019-12-23 02:31:12",-77.2179,166.4585,11996,2.48278192646024,1.87013236861862,0,0.745082938917711
"92",92,"N424A1","2019-12-23 05:51:08",-77.213,166.3605,1324,0.0571705826374478,1.57423485727598,0,0.155448714119949
"93",93,"N424A1","2019-12-23 06:13:12",-77.2135,166.36,1793,1.49805867953601,3.96960880006149,0,3.00781441513086
"94",94,"N424A1","2019-12-23 06:43:05",-77.2025,166.3253,4504,1.86948789492724,1.33409998463656,0,1.49426208297914
"95",95,"N424A1","2019-12-23 07:58:09",-77.2086,166.2549,7196,2.29539499707143,6.13614558442468,0,1.14833546268165
