"","X","id","date","lat","lon","time","step","ta","dives","speed"
"1",1,"N18A1","2018-12-16 22:44",-77.2237,166.3852,6180,6.42293334077007,NA,1,3.74151456743888
"2",2,"N18A1","2018-12-17 00:27",-77.2762,166.2786,2400,4.68047777220372,0.953137996744785,3,7.02071665830558
"3",3,"N18A1","2018-12-17 01:07",-77.3123,166.3755,3540,4.3507463912199,4.61830371008171,12,4.42448785547786
"4",4,"N18A1","2018-12-17 02:06",-77.3288,166.2147,2580,2.2431418943352,6.2821386962394,22,3.12996543395609
"5",5,"N18A1","2018-12-17 02:49",-77.3373,166.1317,3420,5.13669518085812,5.88442694676423,24,5.40704755879802
"6",6,"N18A1","2018-12-17 03:46",-77.339,165.922,2160,6.2734671557249,1.72002748763802,15,10.4557785928748
"7",7,"N18A1","2018-12-17 04:22",-77.3942,165.9701,2760,2.01217622145379,5.47856153025097,18,2.62457768015712
"8",8,"N18A1","2018-12-17 05:08",-77.4089,165.9223,720,0.652272092052171,5.20917071597586,5,3.26136046026085
"9",9,"N18A1","2018-12-17 05:20",-77.4082,165.8957,420,1.01749182728614,0.274440378892012,0,8.72135851959549
"10",10,"N18A1","2018-12-17 05:27",-77.4096,165.8544,2580,0.747787330635391,6.24859470672321,10,1.04342418228194
"11",11,"N18A1","2018-12-17 06:10",-77.4104,165.8239,11640,6.07548739640917,1.90000836846441,63,1.87901672053892
"12",12,"N18A1","2018-12-17 09:24",-77.4594,165.9327,6540,4.36031337153783,4.58772584575148,29,2.40017249809422
"13",13,"N18A1","2018-12-17 11:13",-77.4718,165.7621,5460,3.53770336987967,0.881628862612219,18,2.33255167244813
"14",14,"N18A1","2018-12-17 12:44",-77.5014,165.7099,23820,10.2386579189014,1.84012003143259,130,1.54740421948132
"15",15,"N18A1","2018-12-17 19:21",-77.5098,166.1319,10800,5.90763666685478,1.30405498319634,47,1.96921222228493
"16",16,"N18A1","2018-12-17 22:21",-77.4603,166.2182,6000,5.84748685784115,6.20037570712118,30,3.50849211470469
"17",17,"N18A1","2018-12-18 00:01",-77.413,166.3216,2940,0.908579087068628,3.18782693991039,18,1.11254582090036
"18",18,"N18A1","2018-12-18 00:50",-77.4205,166.3071,2220,6.82631372568136,4.11087492403314,19,11.0696979335373
"19",19,"N18A1","2018-12-18 01:27",-77.369,166.1561,660,2.21914588551342,4.51706110877198,4,12.1044321028005
"20",20,"N18A1","2018-12-18 01:38",-77.3617,166.2406,3480,6.1215084393413,1.55716468549353,35,6.33259493724962
"21",21,"N18A1","2018-12-18 02:36",-77.3104,166.1523,2340,5.52705609641655,5.23719069584295,19,8.50316322525623
"22",22,"N18A1","2018-12-18 03:15",-77.272,166.2943,480,1.39530195552766,0.281695827258532,5,10.4647646664574
