"","X","id","date","lat","lon","time","step","ta","dives","speed"
"1",1,"N433A1","2019-12-12 00:00:04",-77.2077,166.4945,92,9.53297617547256,NA,1,373.029502518491
"2",2,"N433A1","2019-12-12 00:01:36",-77.1259,166.3842,5336,10.2495092449223,3.00472038822,3,6.91496125969271
"3",3,"N433A1","2019-12-12 01:30:32",-77.2166,166.4483,6072,3.05356684782695,0.49268595719543,37,1.81041512717013
"4",4,"N433A1","2019-12-12 03:11:44",-77.2384,166.523,6164,2.95205947920619,1.72937783410168,38,1.72411001381283
"5",5,"N433A1","2019-12-12 04:54:28",-77.2193,166.6057,552,0.453409327224189,4.52820589945442,2,2.9570173514621
"6",6,"N433A1","2019-12-12 05:03:40",-77.2226,166.6164,1380,0.69165678611003,5.48514858043994,7,1.80432205072182
"7",7,"N433A1","2019-12-12 05:26:40",-77.2287,166.6115,2964,7.44389040438981,4.50300071887412,15,9.04116243448155
"8",8,"N433A1","2019-12-12 06:16:04",-77.2035,166.3326,3600,0.552849435615667,0.0776351920204057,22,0.552849435615667
"9",9,"N433A1","2019-12-12 07:16:04",-77.202,166.3113,3643,1.84377086681774,0.119352163231234,29,1.82200799356131
"10",10,"N433A1","2019-12-12 08:16:47",-77.1989,166.2381,3617,1.16262405126892,0.333128673350404,29,1.15715968608463
"11",11,"N433A1","2019-12-12 09:17:04",-77.2004,166.1916,3715,1.76794554162737,5.75705487133546,32,1.71321775231724
"12",12,"N433A1","2019-12-12 10:18:59",-77.1945,166.1253,5625,4.53022112754725,0.176734316654729,25,2.89934152163024
"13",13,"N433A1","2019-12-12 11:52:44",-77.1862,165.9462,4543,1.86697041001004,1.04910827246385,0,1.47943946203745
"14",14,"N433A1","2019-12-12 13:08:27",-77.1987,165.8961,10849,1.26695440574179,5.02160213757602,52,0.420410716256839
"15",15,"N433A1","2019-12-12 16:09:16",-77.1941,165.8493,3636,1.55693161102369,4.11739404352631,13,1.54151644655811
"16",16,"N433A1","2019-12-12 17:09:52",-77.1867,165.9026,3612,0.736894734499747,6.19589903676152,10,0.734446579235628
"17",17,"N433A1","2019-12-12 18:10:04",-77.1837,165.9291,4825,0.815048626289347,1.08401489303904,0,0.60811918230915
"18",18,"N433A1","2019-12-12 19:30:29",-77.1764,165.9296,3575,2.50913862831979,4.10466371021807,0,2.52668505229405
"19",19,"N433A1","2019-12-12 20:30:04",-77.1895,166.0119,4077,0.746254421969264,3.91493807398755,0,0.658944301959615
"20",20,"N433A1","2019-12-12 21:38:01",-77.1905,165.9821,3603,4.88775100131523,2.47115427809226,0,4.88368126692613
"21",21,"N433A1","2019-12-12 22:38:04",-77.2122,166.1537,8780,7.01119432270584,0.339971627734675,0,2.87474938060832
"22",22,"N433A1","2019-12-13 01:04:24",-77.2233,166.433,1790,5.04084694140506,0.757400797939602,0,10.1380161950046
"23",23,"N433A1","2019-12-13 01:34:14",-77.1986,166.6037,4180,5.79792195908247,3.65737330565321,0,4.99342561069304
"24",24,"N433A1","2019-12-13 02:43:54",-77.2447,166.4956,5906,3.51640066263642,1.79377423023679,0,2.14342065450239
"25",25,"N433A1","2019-12-13 04:22:20",-77.2526,166.6337,1822,0.273360005134484,4.76747857225276,0,0.540118561187784
"26",26,"N433A1","2019-12-13 04:52:42",-77.255,166.6315,4084,8.23807354042927,4.25326618207943,0,7.26176903661738
"27",27,"N433A1","2019-12-13 06:00:46",-77.2097,166.368,66736,2.11234163964966,4.33180910521703,0,0.113947942680694
"28",28,"N433A1","2019-12-14 00:33:02",-77.2001,166.4416,2898,0.937517902240844,2.36994590952928,0,1.16461851210043
"29",29,"N433A1","2019-12-14 01:21:20",-77.1981,166.4048,3082,0.958619402154575,2.82986004643983,0,1.11973713424934
"30",30,"N433A1","2019-12-14 02:12:42",-77.2026,166.4378,5842,7.29232529923592,5.95216578971579,0,4.49373007142234
"31",31,"N433A1","2019-12-14 03:50:04",-77.253,166.6257,5943,3.87336034382702,3.24141450123491,0,2.34630611438285
"32",32,"N433A1","2019-12-14 05:29:07",-77.2285,166.5145,3165,3.11179826118465,2.0165742087485,0,3.53948617385932
"33",33,"N433A1","2019-12-14 06:21:52",-77.2548,166.4727,40272,5.13005751352754,3.60307593681383,79,0.458586786072188
"34",34,"N433A1","2019-12-14 17:33:04",-77.2092,166.447,21633,5.07297744314976,0.137483152129783,69,0.844206480624007
"35",35,"N433A1","2019-12-14 23:33:37",-77.1653,166.3941,1831,2.14560679924014,0.501181560204003,10,4.21856061019361
"36",36,"N433A1","2019-12-15 00:04:08",-77.1514,166.3344,2100,5.68528506363428,4.68706766309739,12,9.74620296623019
"37",37,"N433A1","2019-12-15 00:39:08",-77.1171,166.5034,3236,7.30200014725084,3.15412939415579,17,8.12336233933962
"38",38,"N433A1","2019-12-15 01:33:04",-77.1616,166.2881,2950,1.90136563470066,3.04047563156526,20,2.32031060505843
"39",39,"N433A1","2019-12-15 02:22:14",-77.1513,166.3491,650,1.19265350005581,2.7004641745318,6,6.60546553877064
"40",40,"N433A1","2019-12-15 02:33:04",-77.1535,166.3021,3600,0.587854995509786,0.655054041844002,27,0.587854995509786
"41",41,"N433A1","2019-12-15 03:33:04",-77.1575,166.2867,5825,5.83611506727172,5.02336251066711,14,3.60686939779883
"42",42,"N433A1","2019-12-15 05:10:09",-77.1372,166.0702,2065,2.96426394472094,2.7075315840277,0,5.16772406827864
"43",43,"N433A1","2019-12-15 05:44:34",-77.1568,166.1507,452,0.305511014132127,1.0146519762674,0,2.4332735638842
"44",44,"N433A1","2019-12-15 05:52:06",-77.1563,166.1628,623,0.621467761096409,5.6734355590234,0,3.59114597102259
"45",45,"N433A1","2019-12-15 06:02:29",-77.1586,166.1856,277,0.840770604263952,3.8644209927156,1,10.9269825824918
"46",46,"N433A1","2019-12-15 06:07:06",-77.1608,166.1532,940,0.978588336825781,2.69569475882612,10,3.74778511975831
"47",47,"N433A1","2019-12-15 06:22:46",-77.1621,166.1922,846,1.65114553527517,3.114625357304,6,7.02615121393689
"48",48,"N433A1","2019-12-15 06:36:52",-77.1595,166.1267,796,0.693289776265467,1.68966750995813,7,3.13548140019558
"49",49,"N433A1","2019-12-15 06:50:08",-77.1657,166.1251,716,0.562989077054624,3.62124246671315,6,2.83067133714615
"50",50,"N433A1","2019-12-15 07:02:04",-77.1611,166.1158,3613,1.74109002900688,1.49572644933485,30,1.73482538179484
"51",51,"N433A1","2019-12-15 08:02:17",-77.1664,166.0498,3666,1.58186936431846,0.519740533866633,26,1.55339053779227
"52",52,"N433A1","2019-12-15 09:03:23",-77.1772,166.0085,4541,1.04929949197939,0.450870214008001,0,0.83186042086012
"53",53,"N433A1","2019-12-15 10:19:04",-77.1863,165.9979,10848,1.10943669629741,5.52811169003974,25,0.368175894788964
"54",54,"N433A1","2019-12-15 13:19:52",-77.1916,165.96,3699,1.27297823377379,5.6944740006856,0,1.23890825671415
"55",55,"N433A1","2019-12-15 14:21:31",-77.1913,165.9086,20673,3.60327248067267,1.22778518034738,97,0.627474528632594
"56",56,"N433A1","2019-12-15 20:06:04",-77.2214,165.856,3600,1.01098746272302,0.983046256642075,5,1.01098746272302
