"","X","id","date","lat","lon","time","step","ta","dives","speed"
"1",1,"N25A2","2018-12-19 11:02",-77.2178,166.1426,3600,2.62812494436604,NA,29,2.62812494436604
"2",2,"N25A2","2018-12-19 12:02",-77.2327,166.0602,3600,0.942977933235791,5.41895052480007,29,0.942977933235791
"3",3,"N25A2","2018-12-19 13:02",-77.2312,166.0226,3660,1.2077377312256,5.96034790760484,50,1.18793875202518
"4",4,"N25A2","2018-12-19 14:03",-77.226,165.9797,4560,1.51869539108999,1.31642682147828,43,1.19897004559736
"5",5,"N25A2","2018-12-19 15:19",-77.2359,165.9375,3600,0.165217199367664,5.96053982922431,43,0.165217199367664
"6",6,"N25A2","2018-12-19 16:19",-77.2366,165.9316,12600,12.9535499890464,2.85018756106861,68,3.70101428258469
"7",7,"N25A2","2018-12-19 19:49",-77.2129,166.4451,17100,2.16322663784964,2.62615518632497,0,0.455416134284135
"8",8,"N25A2","2018-12-20 00:34",-77.2069,166.3619,1920,2.18019006222215,3.88270160060801,0,4.08785636666653
"9",9,"N25A2","2018-12-20 01:06",-77.1988,166.4421,3900,2.58942729480932,4.59359844612679,0,2.39024057982399
"10",10,"N25A2","2018-12-20 02:11",-77.2209,166.4739,1860,0.81314670002168,1.01260391239454,0,1.57383232262261
"11",11,"N25A2","2018-12-20 02:42",-77.2227,166.5058,4440,0.729486174268029,6.12371688979359,0,0.591475276433537
"12",12,"N25A2","2018-12-20 03:56",-77.2253,166.5329,6000,1.3650491834542,0.606550980768874,0,0.81902951007252
"13",13,"N25A2","2018-12-20 05:36",-77.2229,166.5871,70860,4.99106545801441,2.66044067686054,0,0.253568101169233
"14",14,"N25A2","2018-12-21 01:17",-77.2103,166.3933,1500,2.15741127812836,0.994836141841268,8,5.17778706750806
"15",15,"N25A2","2018-12-21 01:42",-77.2229,166.3271,1980,0.470340298808354,0.938833858697987,17,0.855164179651553
"16",16,"N25A2","2018-12-21 02:15",-77.2271,166.3286,1140,0.195049443236449,1.49190706336218,8,0.615945610220365
"17",17,"N25A2","2018-12-21 02:34",-77.2271,166.3365,2880,2.41021457685127,2.18905305310846,6,3.01276822106409
"18",18,"N25A2","2018-12-21 03:22",-77.2095,166.28,1200,2.72490757158549,2.54966877640165,13,8.17472271475647
"19",19,"N25A2","2018-12-21 03:42",-77.2339,166.2829,1200,1.77872966579027,6.02339454508835,10,5.33618899737081
"20",20,"N25A2","2018-12-21 04:02",-77.2494,166.2662,900,1.84701661816382,3.30156344511243,4,7.38806647265528
"21",21,"N25A2","2018-12-21 04:17",-77.2329,166.2717,2640,1.34904383850307,5.77529253135383,24,1.83960523432237
"22",22,"N25A2","2018-12-21 05:01",-77.2228,166.3017,1440,1.55035385738072,2.24652284185174,11,3.8758846434518
"23",23,"N25A2","2018-12-21 05:25",-77.2241,166.2392,4020,4.95687841511848,3.26357565156351,22,4.43899559562849
"24",24,"N25A2","2018-12-21 06:32",-77.2145,166.4351,13380,0.243319943068719,3.45442687876913,1,0.0654672492561576
"25",25,"N25A2","2018-12-21 10:15",-77.2156,166.4266,4560,6.67026609472437,6.07988225596822,22,5.26599954846661
"26",26,"N25A2","2018-12-21 11:31",-77.2346,166.1705,3660,3.0493047385797,0.12187432337169,23,2.9993161363079
"27",27,"N25A2","2018-12-21 12:32",-77.2464,166.059,3600,1.03269912815336,5.77096584522636,25,1.03269912815336
"28",28,"N25A2","2018-12-21 13:32",-77.2458,166.0172,21780,10.9581531089519,3.53033171726148,122,1.81126497668626
"29",29,"N25A2","2018-12-21 19:35",-77.2142,166.4375,3600,0.104377463846656,0.00242325928962992,1,0.104377463846656
"30",30,"N25A2","2018-12-21 20:35",-77.2139,166.4415,16440,1.72694612521324,1.3923070236377,0,0.378163385083191
"31",31,"N25A2","2018-12-22 01:09",-77.1986,166.4312,2940,2.17447107757515,2.24761765989441,0,2.66261764601039
"32",32,"N25A2","2018-12-22 01:58",-77.2129,166.3715,1620,0.0676623894950399,2.15087691266176,0,0.150360865544533
"33",33,"N25A2","2018-12-22 02:25",-77.213,166.3742,1620,3.08072617053196,5.95749965996649,0,6.84605815673769
"34",34,"N25A2","2018-12-22 02:52",-77.226,166.4842,2400,1.10003715831653,5.96978956185744,0,1.6500557374748
"35",35,"N25A2","2018-12-22 03:32",-77.2331,166.5151,480,0.180691023427886,3.56673923122652,0,1.35518267570915
"36",36,"N25A2","2018-12-22 03:40",-77.2325,166.5083,3060,3.58269141795286,5.90846500026083,0,4.21493107994454
"37",37,"N25A2","2018-12-22 04:31",-77.2105,166.4027,2520,1.0470554846241,3.51326078937538,0,1.495793549463
"38",38,"N25A2","2018-12-22 05:13",-77.214,166.442,1620,0.315485062760962,0.706776434908491,0,0.701077917246582
"39",39,"N25A2","2018-12-22 05:40",-77.2131,166.4541,1740,0.397801912020288,3.25219764720673,0,0.823038438662665
"40",40,"N25A2","2018-12-22 06:09",-77.2146,166.4395,66600,1.28469432139555,4.24117679472294,0,0.0694429362916514
"41",41,"N25A2","2018-12-23 00:39",-77.2031,166.4414,3420,2.20968223793123,2.84450919111712,0,2.32598130308551
"42",42,"N25A2","2018-12-23 01:36",-77.2218,166.4121,2520,0.975892953952507,1.88125326394359,0,1.39413279136072
"43",43,"N25A2","2018-12-23 02:18",-77.222,166.4516,1980,0.810559840170433,2.51399905618818,0,1.47374516394624
"44",44,"N25A2","2018-12-23 02:51",-77.2176,166.4255,1800,4.69390801370953,4.18643716647587,4,9.38781602741906
"45",45,"N25A2","2018-12-23 03:21",-77.2014,166.6007,2220,7.44943532552024,3.5543366190934,1,12.0801653927355
"46",46,"N25A2","2018-12-23 03:58",-77.2495,166.3916,4620,6.6992528996129,5.65287419599037,35,5.22019706463343
"47",47,"N25A2","2018-12-23 05:15",-77.2599,166.1238,1440,3.96836507832017,0.446244521742064,5,9.92091269580042
"48",48,"N25A2","2018-12-23 05:39",-77.2806,165.9927,3600,2.85304132393077,5.0955276017623,26,2.85304132393077
"49",49,"N25A2","2018-12-23 06:39",-77.2669,165.8948,4620,2.44909600288912,1.01863692254464,28,1.90838649575776
"50",50,"N25A2","2018-12-23 07:56",-77.2765,165.8053,9060,3.23581489859162,5.57954578813045,51,1.28575426434104
"51",51,"N25A2","2018-12-23 10:27",-77.2693,165.6779,3600,2.56148637180449,1.05939752218165,18,2.56148637180449
"52",52,"N25A2","2018-12-23 11:27",-77.2859,165.606,3600,3.32035029318789,3.09177849930103,18,3.32035029318789
"53",53,"N25A2","2018-12-23 12:27",-77.2654,165.7038,3600,1.34691854825524,0.601077302736078,18,1.34691854825524
"54",54,"N25A2","2018-12-23 13:27",-77.2536,165.7152,13980,5.98506735841774,6.13388537210578,84,1.5412190622535
"55",55,"N25A2","2018-12-23 17:20",-77.2034,165.8003,3720,0.910477366818751,5.43501712839692,23,0.881107129179436
"56",56,"N25A2","2018-12-23 18:22",-77.2005,165.8347,3600,2.39268158653159,5.98448837212409,23,2.39268158653159
"57",57,"N25A2","2018-12-23 19:22",-77.1991,165.9312,15300,12.7065814988692,6.08124817431425,15,2.98978388208687
"58",58,"N25A2","2018-12-23 23:37",-77.2142,166.4405,1800,2.26754344627916,4.88352088724643,0,4.53508689255832
"59",59,"N25A2","2018-12-24 00:07",-77.2345,166.4436,5880,4.91808440558131,0.873133143710356,0,3.01107208504978
"60",60,"N25A2","2018-12-24 01:45",-77.2616,166.6009,5040,6.60083058352771,2.69881196353257,0,4.71487898823408
"61",61,"N25A2","2018-12-24 03:09",-77.2087,166.4814,5460,1.36673900312226,0.650321780030149,0,0.901146595465226
"62",62,"N25A2","2018-12-24 04:40",-77.2033,166.4318,540,0.668777694168099,6.25342480541837,0,4.45851796112066
"63",63,"N25A2","2018-12-24 04:49",-77.2005,166.4079,1380,0.156312463092934,2.04111128164692,0,0.407771642851132
"64",64,"N25A2","2018-12-24 05:12",-77.2019,166.4078,72420,12.60297532241,5.38923521337033,0,0.626494216524109
"65",65,"N25A2","2018-12-25 01:19",-77.2709,166.0035,5820,12.6791519945995,3.0628163356634,0,7.84277442964918
"66",66,"N25A2","2018-12-25 02:56",-77.2081,166.4318,240,0.298412140168116,2.98355959824865,0,4.47618210252174
"67",67,"N25A2","2018-12-25 03:00",-77.2092,166.4208,5880,0.879433871350939,1.49646945788064,0,0.538428900827105
"68",68,"N25A2","2018-12-25 04:38",-77.2166,166.433,5340,0.764540268839655,1.97709894908703,0,0.515420405959318
"69",69,"N25A2","2018-12-25 06:07",-77.2119,166.4555,300,0.702881423042325,2.79395229083449,0,8.4345770765079
"70",70,"N25A2","2018-12-25 06:12",-77.2144,166.4294,16020,0.268767391735413,3.51699609433194,0,0.0603971666821153
"71",71,"N25A2","2018-12-25 10:39",-77.2127,166.4371,10800,10.633598712623,1.85323771336125,28,3.54453290420767
"72",72,"N25A2","2018-12-25 13:39",-77.1664,166.0618,16380,16.3456590488045,1.52653185943388,92,3.59245253819879
"73",73,"N25A2","2018-12-25 18:12",-77.2911,165.7148,13680,19.967012583471,0.881567762951703,49,5.25447699565026
"74",74,"N25A2","2018-12-25 22:00",-77.46,165.9839,3600,6.49205243560358,5.99231200236491,7,6.49205243560358
"75",75,"N25A2","2018-12-25 23:00",-77.5181,165.9952,5640,9.32065205460596,0.152682776430104,18,5.9493523752804
"76",76,"N25A2","2018-12-26 00:34",-77.6,166.0704,840,0.723140360152017,4.78349209317525,7,3.09917297208007
"77",77,"N25A2","2018-12-26 00:48",-77.6017,166.0413,3000,1.60962905366103,0.210177093901835,15,1.93155486439324
"78",78,"N25A2","2018-12-26 01:38",-77.6083,165.9816,2040,1.91476236480999,6.10977200387446,9,3.37899240848822
"79",79,"N25A2","2018-12-26 02:12",-77.6134,165.9053,240,0.680466689052865,1.44507964039707,2,10.207000335793
"80",80,"N25A2","2018-12-26 02:16",-77.6194,165.9103,540,0.875724322866929,3.43305706302019,2,5.83816215244619
"81",81,"N25A2","2018-12-26 02:25",-77.6124,165.8938,1500,1.77129622304926,5.22636332185812,7,4.25111093531822
"82",82,"N25A2","2018-12-26 02:50",-77.5992,165.9348,1800,0.781154901880334,2.82132665908583,8,1.56230980376067
"83",83,"N25A2","2018-12-26 03:20",-77.6035,165.9091,3900,4.06209240131592,0.437006418510926,19,3.74962375506085
"84",84,"N25A2","2018-12-26 04:25",-77.6359,165.8319,2280,1.45914590945533,5.53613134117014,21,2.30391459387684
"85",85,"N25A2","2018-12-26 05:03",-77.6404,165.7746,960,0.745515351504152,2.8642903846294,7,2.79568256814057
"86",86,"N25A2","2018-12-26 05:19",-77.6399,165.8057,1260,2.49475722237265,1.4317582471341,10,7.12787777820757
"87",87,"N25A2","2018-12-26 05:40",-77.6176,165.8124,180,0.0443469382539297,1.10753535012141,2,0.886938765078594
"88",88,"N25A2","2018-12-26 05:43",-77.6174,165.8108,1440,2.31163053671993,2.12220538223476,4,5.77907634179982
