"","X","id","date","lat","lon","time","step","ta","dives","speed"
"1",1,"N440A1","2019-12-11 00:15:46",-77.1987,166.4769,436,2.27650039758625,NA,1,18.7967922736479
"2",2,"N440A1","2019-12-11 00:23:02",-77.2186,166.4568,246,0.528574555688509,3.73983763637338,0,7.73523740031964
"3",3,"N440A1","2019-12-11 00:27:08",-77.2142,166.4489,3526,1.24442108724572,1.46536115905206,0,1.27053769542955
"4",4,"N440A1","2019-12-11 01:25:54",-77.2172,166.4004,2526,1.47339023466771,3.34017724827712,0,2.09984356484709
"5",5,"N440A1","2019-12-11 02:08:00",-77.2112,166.4535,1911,0.460821607155827,4.88521956136634,0,0.868109778001558
"6",6,"N440A1","2019-12-11 02:39:51",-77.2145,166.4647,1592,2.33836269926569,3.00575449597413,0,5.28775484758573
"7",7,"N440A1","2019-12-11 03:06:23",-77.1962,166.4187,2366,6.7820149171229,3.11857514826371,2,10.3192112010323
"8",8,"N440A1","2019-12-11 03:45:49",-77.2499,166.5471,5961,8.50963120563843,3.49615235077383,22,5.13918341558436
"9",9,"N440A1","2019-12-11 05:25:10",-77.1989,166.291,67138,5.60544850090875,3.32642224059641,299,0.300569194841543
"10",10,"N440A1","2019-12-12 00:04:08",-77.2249,166.485,880,0.65641450552675,1.34141295799931,3,2.68533206806398
"11",11,"N440A1","2019-12-12 00:18:48",-77.2207,166.5036,1137,1.04910874253652,2.5718436540615,12,3.32171633520798
"12",12,"N440A1","2019-12-12 00:37:45",-77.2228,166.4622,1593,0.151080187505645,1.06348754129904,0,0.34142415255513
"13",13,"N440A1","2019-12-12 01:04:18",-77.2241,166.4605,1729,0.819316911840705,3.7709291140243,2,1.7059230090379
"14",14,"N440A1","2019-12-12 01:33:07",-77.2172,166.4492,773,1.30823417991796,5.47515206371699,0,6.0926818210927
"15",15,"N440A1","2019-12-12 01:46:00",-77.2067,166.4727,3640,0.386143384347699,4.65876369806354,0,0.381900050453768
"16",16,"N440A1","2019-12-12 02:46:40",-77.2084,166.4863,2275,1.17832078547179,4.10681487362675,0,1.86459552865866
"17",17,"N440A1","2019-12-12 03:24:35",-77.213,166.4434,228,0.0185623130383876,5.18659995974236,0,0.293089153237699
"18",18,"N440A1","2019-12-12 03:28:23",-77.2129,166.4428,5460,1.12005788768076,3.21821129053422,0,0.738499706163139
"19",19,"N440A1","2019-12-12 04:59:23",-77.2183,166.481,409,1.04356069623692,4.31338114591411,0,9.18537532140076
"20",20,"N440A1","2019-12-12 05:06:12",-77.2236,166.4462,71977,2.09254381335588,4.04065078772241,0,0.104660623922658
"21",21,"N440A1","2019-12-13 01:05:49",-77.2049,166.452,955,1.23924181683712,3.20022706175146,0,4.67148747708234
"22",22,"N440A1","2019-12-13 01:21:44",-77.216,166.4515,683,0.395688896037427,4.95016170498062,0,2.08562229243739
"23",23,"N440A1","2019-12-13 01:33:07",-77.2168,166.4359,3094,2.21900761902334,2.27758150492083,0,2.58190931754493
"24",24,"N440A1","2019-12-13 02:24:41",-77.2286,166.5082,1092,0.761104140284392,3.73404576429041,0,2.50913452841008
"25",25,"N440A1","2019-12-13 02:42:53",-77.2283,166.4774,1274,1.38637611633739,2.94089634905996,0,3.91754632560016
"26",26,"N440A1","2019-12-13 03:04:07",-77.2313,166.5319,728,0.697618887249607,4.67369856321599,0,3.4497637281574
"27",27,"N440A1","2019-12-13 03:16:15",-77.2373,166.524,3895,4.52177202382154,4.1661853409269,0,4.17930148543198
"28",28,"N440A1","2019-12-13 04:21:10",-77.2074,166.4005,2202,1.23790681152957,3.15162385349297,0,2.0238258499121
"29",29,"N440A1","2019-12-13 04:57:52",-77.2155,166.4347,4095,1.02007747317798,3.68411063656843,0,0.896771404991631
"30",30,"N440A1","2019-12-13 06:06:07",-77.213,166.395,65834,2.20386195802109,3.32632721354154,0,0.120513762628367
"31",31,"N440A1","2019-12-14 00:23:21",-77.2148,166.4838,500,1.63787462729257,4.38531423686844,0,11.7926973165065
"32",32,"N440A1","2019-12-14 00:31:41",-77.2282,166.4568,1957,0.343386091204671,4.83469696540006,0,0.631675998128163
"33",33,"N440A1","2019-12-14 01:04:18",-77.2273,166.4435,273,0.0795383327949151,4.82186798730125,0,1.04885713575712
"34",34,"N440A1","2019-12-14 01:08:51",-77.2266,166.4441,955,0.360642193990612,2.46590560548932,0,1.35948889881278
"35",35,"N440A1","2019-12-14 01:24:46",-77.2287,166.433,2366,1.22991867478724,3.43857846097498,0,1.87138936146833
"36",36,"N440A1","2019-12-14 02:04:12",-77.2194,166.4597,501,0.972834594944465,1.3290058805802,0,6.99042822714586
"37",37,"N440A1","2019-12-14 02:12:33",-77.2131,166.4325,1820,2.88917397385754,0.901701643836153,3,5.71484961861931
"38",38,"N440A1","2019-12-14 02:42:53",-77.2155,166.3161,4140,13.0098117746138,2.36508869349241,16,11.312879804012
"39",39,"N440A1","2019-12-14 03:51:53",-77.2887,166.7269,5991,10.6216884403083,2.96346400423424,19,6.38258694460188
"40",40,"N440A1","2019-12-14 05:31:44",-77.2164,166.4467,2745,3.99757437880757,2.26309833936001,1,5.24272049679681
"41",41,"N440A1","2019-12-14 06:17:29",-77.2517,166.4195,64015,3.89278353721065,3.12881191282535,353,0.2189177651169
"42",42,"N440A1","2019-12-15 00:04:24",-77.2174,166.4479,2320,0.637096215996462,4.47861814565267,14,0.988597576546234
"43",43,"N440A1","2019-12-15 00:43:04",-77.2197,166.4715,1456,0.708216728059995,0.980447986644506,4,1.75108531663186
"44",44,"N440A1","2019-12-15 01:07:20",-77.2163,166.4957,2002,1.44470719156441,3.29314369506818,2,2.59787506974619
"45",45,"N440A1","2019-12-15 01:40:42",-77.2248,166.4516,182,0.105485225171416,6.25423978511245,1,2.08652093745658
"46",46,"N440A1","2019-12-15 01:43:44",-77.2254,166.4483,2321,0.962621769719504,3.79650857993949,2,1.49307986686351
"47",47,"N440A1","2019-12-15 02:22:25",-77.217,166.4571,1820,0.171972558884592,4.46847346955591,0,0.340165501090402
"48",48,"N440A1","2019-12-15 02:52:45",-77.2177,166.4633,1592,0.789331254439405,5.32540652433521,0,1.78491992209916
"49",49,"N440A1","2019-12-15 03:19:17",-77.2247,166.4678,4186,1.90656041823838,2.58096265753085,0,1.63966017813143
"50",50,"N440A1","2019-12-15 04:29:03",-77.2091,166.4992,2002,1.91306096492529,2.09019643257281,0,3.44006966719832
"51",51,"N440A1","2019-12-15 05:02:25",-77.2108,166.4222,3003,0.752408311094586,0.535580178733734,0,0.901987985328175
"52",52,"N440A1","2019-12-15 05:52:28",-77.2148,166.3977,1001,1.73858684761613,2.46685466390386,0,6.25265999142664
"53",53,"N440A1","2019-12-15 06:09:09",-77.2154,166.468,65470,1.12198805328267,2.32349494055774,0,0.0616947761084101
"54",54,"N440A1","2019-12-16 00:20:19",-77.2078,166.4383,2230,1.04577843587177,2.74520964747973,0,1.68825218347012
"55",55,"N440A1","2019-12-16 00:57:29",-77.2167,166.4515,1410,2.18596715994037,3.95816271475639,0,5.58119274878392
"56",56,"N440A1","2019-12-16 01:20:59",-77.2084,166.3714,2275,0.966456982464083,4.2372340293735,0,1.52933852170141
"57",57,"N440A1","2019-12-16 01:58:54",-77.2031,166.4023,2548,0.500416699417,4.94977155716546,0,0.70702516401146
"58",58,"N440A1","2019-12-16 02:41:22",-77.2059,166.4181,501,0.709171339521086,6.02581094238798,0,5.09584196063056
"59",59,"N440A1","2019-12-16 02:49:43",-77.211,166.4352,5187,1.28826693052868,4.50318057691163,0,0.894112386717418
"60",60,"N440A1","2019-12-16 04:16:10",-77.2158,166.3878,728,1.08871575184323,3.60552573677077,0,5.38375921241158
"61",61,"N440A1","2019-12-16 04:28:18",-77.2082,166.4154,5369,0.547840587458921,4.6793775470296,0,0.367335838117362
"62",62,"N440A1","2019-12-16 05:57:47",-77.2114,166.4322,682,0.323909619965782,3.50030331225425,0,1.70978685025926
"63",63,"N440A1","2019-12-16 06:09:09",-77.2104,166.4199,4408,0.378999689778263,2.15953957299171,0,0.309527877314371
"64",64,"N440A1","2019-12-16 07:22:37",-77.2137,166.4235,14040,1.34367323993399,4.59245493492628,0,0.344531599983074
"65",65,"N440A1","2019-12-16 11:16:37",-77.2151,166.3695,3600,3.43303817660222,0.0178553800510612,0,3.43303817660222
"66",66,"N440A1","2019-12-16 12:16:37",-77.2192,166.2318,3599,1.36728979173515,6.18959543387858,0,1.36766969998515
"67",67,"N440A1","2019-12-16 13:16:36",-77.2197,166.1765,7260,3.5370201925302,0.526083865859159,0,1.75389431034555
"68",68,"N440A1","2019-12-16 15:17:36",-77.2367,166.0556,7201,2.18373720932115,5.7676920556986,0,1.09171697730262
"69",69,"N440A1","2019-12-16 17:17:37",-77.2377,165.9672,7259,2.92511902129824,4.19335837110428,0,1.45067205905409
"70",70,"N440A1","2019-12-16 19:18:36",-77.2143,166.0205,3609,1.06637892498078,0.362575902321537,0,1.06371962591599
"71",71,"N440A1","2019-12-16 20:18:45",-77.2048,166.025,3609,0.986495119759362,5.67729155941778,0,0.984035032178915
"72",72,"N440A1","2019-12-16 21:18:54",-77.1981,166.051,3673,3.0900210030438,6.00330124247037,0,3.0286075717282
"73",73,"N440A1","2019-12-16 22:20:07",-77.1829,166.1553,3677,0.470383625305827,5.99136642481285,0,0.460533329100075
"74",74,"N440A1","2019-12-16 23:21:24",-77.1817,166.1735,4682,0.70677603682701,1.86102863611691,0,0.543441634467586
"75",75,"N440A1","2019-12-17 00:39:26",-77.1764,166.1579,450,0.581229557321852,3.34293378115248,0,4.64983645857482
"76",76,"N440A1","2019-12-17 00:46:56",-77.1801,166.1744,640,1.173342352581,1.20130063319155,0,6.60005073326812
"77",77,"N440A1","2019-12-17 00:57:36",-77.1759,166.2178,2490,1.54161032242081,5.67515561713319,0,2.22883420109033
"78",78,"N440A1","2019-12-17 01:39:06",-77.1786,166.2788,2399,1.04455954084892,2.17318604538772,0,1.56749243312051
"79",79,"N440A1","2019-12-17 02:19:05",-77.17,166.2622,135,0.231264428335744,1.61521909165056,0,6.16705142228651
"80",80,"N440A1","2019-12-17 02:21:20",-77.1709,166.2538,411,0.787543997469674,4.81684558635267,0,6.89819559827452
"81",81,"N440A1","2019-12-17 02:28:11",-77.1649,166.2371,509,1.12559374561601,3.28916662463448,0,7.96097737567316
"82",82,"N440A1","2019-12-17 02:36:40",-77.1726,166.2664,413,1.20333720805771,3.02302575336709,0,10.4891378910599
"83",83,"N440A1","2019-12-17 02:43:33",-77.1636,166.2397,1959,0.264898332505752,5.31614050469307,0,0.486796323134613
"84",84,"N440A1","2019-12-17 03:16:12",-77.1614,166.2437,311,0.213442583207361,3.18183050045257,0,2.47071800497267
